,Mx,My,Fz,Time in ms
1.67608E+18,-33,-8,-170.52,2011000.064
1.67608E+18,-34,-4,-174.44,2011059.968
1.67608E+18,-38,-3,-178.36,2011069.952
1.67608E+18,-40,1,-182.28,2011079.936
1.67608E+18,-42,8,-184.24,2057520.128
1.67608E+18,-39,13,-182.28,2057540.096
1.67608E+18,-39,16,-184.24,2057550.08
1.67608E+18,-38,17,-186.2,2057580.032
1.67608E+18,-39,16,-188.16,2057590.016
1.67608E+18,-40,17,-188.16,2057619.968
1.67608E+18,-42,16,-190.12,2140280.064
1.67608E+18,-43,17,-192.08,2192519.936
1.67608E+18,-44,18,-192.08,2192540.16
1.67608E+18,-45,20,-194.04,2192560.128
1.67608E+18,-44,23,-197.96,2192570.112
1.67608E+18,-42,29,-201.88,2192649.984
1.67608E+18,-33,37,-207.76,2192659.968
1.67608E+18,-26,46,-215.6,2192669.952
1.67608E+18,-17,75,-186.2,2192720.128
1.67608E+18,-40,-45,-148.96,2192740.096
1.67608E+18,32,-86,-123.48,2192780.032
1.67608E+18,17,57,-150.92,2240059.904
1.67608E+18,-5,79,-156.8,2240100.096
1.67608E+18,3,76,-141.12,2240100.096
1.67608E+18,24,3,-94.08,2240120.064
1.67608E+18,40,-99,17.64,2240140.032
1.67608E+18,115,-241,280.28,2240179.968
1.67608E+18,241,-329,539,2240189.952
1.67608E+18,280,-225,580.16,2289820.16
1.67608E+18,228,-144,540.96,2348440.064
1.67608E+18,167,-193,544.88,2348480
1.67608E+18,143,-283,631.12,2348489.984
1.67608E+18,146,-315,703.64,2348529.92
1.67608E+18,186,-271,748.72,2348529.92
1.67608E+18,223,-183,789.88,2348539.904
1.67608E+18,250,-109,825.16,2348570.112
1.67608E+18,272,-18,809.48,2348580.096
1.67608E+18,299,68,782.04,2348590.08
1.67608E+18,309,161,746.76,2348630.016
1.67608E+18,309,222,707.56,2394439.936
1.67608E+18,301,257,666.4,2394470.144
1.67608E+18,288,277,617.4,2394480.128
1.67608E+18,291,317,546.84,2394609.92
1.67608E+18,293,350,490,2394630.144
1.67608E+18,287,372,437.08,2441659.904
1.67608E+18,284,393,384.16,2441680.128
1.67608E+18,281,410,335.16,2441690.112
1.67608E+18,281,426,294,2441710.08
1.67608E+18,281,445,264.6,2441740.032
1.67608E+18,284,468,239.12,2441750.016
1.67608E+18,284,491,219.52,2486830.08
1.67608E+18,285,514,211.68,2486840.064
1.67608E+18,282,541,201.88,2486870.016
1.67608E+18,280,573,197.96,2486889.984
1.67608E+18,276,610,197.96,2536349.952
1.67608E+18,269,653,203.84,2536379.904
1.67608E+18,267,703,209.72,2609740.032
1.67608E+18,265,758,215.6,2609750.016
1.67608E+18,266,816,225.4,2609769.984
1.67608E+18,271,877,233.24,2609769.984
1.67608E+18,280,943,239.12,2609779.968
1.67608E+18,295,1011,243.04,2609830.144
1.67608E+18,313,1080,245,2609850.112
1.67608E+18,341,1152,243.04,2609890.048
1.67608E+18,378,1222,243.04,2658919.936
1.67608E+18,424,1292,231.28,2658929.92
1.67608E+18,462,1391,205.8,2658980.096
1.67608E+18,488,1493,190.12,2658980.096
1.67608E+18,510,1546,186.2,2659020.032
1.67608E+18,524,1570,184.24,2659030.016
1.67608E+18,526,1570,182.28,2708160
1.67608E+18,513,1547,176.4,2708179.968
1.67608E+18,479,1483,164.64,2708199.936
1.67608E+18,427,1380,150.92,2708209.92
1.67608E+18,360,1238,117.6,2708230.144
1.67608E+18,285,1060,72.52,2774739.968
1.67608E+18,214,888,21.56,2774769.92
1.67608E+18,156,713,-23.52,2774779.904
1.67608E+18,110,527,-62.72,2774790.144
1.67608E+18,70,355,-94.08,2774800.128
1.67608E+18,25,206,-125.44,2774820.096
1.67608E+18,-23,73,-147,2774840.064
1.67608E+18,-59,-29,-166.6,2774860.032
1.67608E+18,-54,-31,-180.32,2774870.016
1.67608E+18,-95,-78,-201.88,2828209.92
1.67608E+18,-143,-217,-184.24,2828230.144
1.67608E+18,-32,-32,-186.2,2828230.144
1.67608E+18,-11,-63,-174.44,2828280.064
1.67608E+18,-13,-35,-176.4,2873180.16
1.67608E+18,-36,1,-180.32,2919930.112
1.67608E+18,-33,3,-178.36,2919950.08
1.67608E+18,-30,-11,-174.44,2919960.064
1.67608E+18,-35,3,-178.36,2919980.032
1.67608E+18,-39,1,-180.32,2920000
1.67608E+18,-40,-6,-182.28,2920000
1.67608E+18,-36,-4,-184.24,2920019.968
1.67608E+18,-30,-13,-182.28,2969390.08
1.67608E+18,-23,-15,-180.32,2969400.064
1.67608E+18,-23,-7,-182.28,2969420.032
1.67608E+18,-27,-2,-188.16,2969459.968
1.67608E+18,-30,-3,-190.12,2969469.952
1.67608E+18,-36,-3,-190.12,2969510.144
1.67608E+18,-43,0,-194.04,2969510.144
1.67608E+18,-48,6,-197.96,3029410.048
